,PO NUMBER,SSCC,QUANTITY ORDERED,QUANTITY ORD UOM,QUANTITY SHIPPED,QUANTITY SHIP UOM,DOT ITEM NUMBER,CUSTOMER ITEM NUMBER,MFG NUMBER,ITEM DESCRIPTION,GTIN,NET WEIGHT,NET WEIGHT UOM,CATCH WEIGHT FLAG,EXPIRATION DATE,LOT NUMBER,PARTNER NUMBER,DOT CUSTOMER NUMBER,DOT CUSTOMER SHIPTO,LOAD NUMBER,SHIP NOTICE DATE,SHIP NOTICE TIME,SHIPPED DATE,SHIPPED TIME,DELIVERY DATE,SHIP TO NAME,SHIP TO ADDRESS,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP CODE,ISR NAME,ISR PHONE,ORDER NUMBER,ORDER SEQUENCE NUMBER,PO DATE,PALLET LIC PLATE,UA UPC NUMBER,SHIPMENT SHIPPED QTY,SHIPMENT SHIPPED UOM,SHIPMENT NET WEIGHT,SHIPMENT NET WT UOM,SHIPMENT GROSS WEIGHT,SHIPMENT GROSS WT UOM,SHIPMENT TOTAL CUBE,SHIPMENT CUBE UOM,SHIPMENT NUM PALLETS,REFERENCE NUMBER,MODE OF TRANSPORT,ORDER SHIPPED QTY,ORDER NET WEIGHT,ORDER NET WT UOM,ORDER GROSS WEIGHT,ORDER GROSS WT UOM,ORDER TOTAL CUBE,ORDER TOTAL CUBE UOM,ORDER NUM PALLETS,PALLET TIERS,PALLET BLOCKS,PALLET HEIGHT,PALLET HEIGHT UOM,QUANTITY ON PALLET,PALLET NET WEIGHT,PALLET NET WEIGHT UOM,PALLET GROSS WEIGHT,PALLET GROSS WEIGHT UOM,PALLET VOLUME,PALLET VOLUME UOM,UP UPC NUMBER,UI UPC NUMBER,HEIGHT,HEIGHT UOM,LENGTH,LENGTH UOM,WIDTH,WIDTH UOM,PACK,SIZE,PACK UOM,GROSS WEIGHT,GROSS WEIGHT UOM,CODE DATE,TOTAL CUBE,CUBE UOM,EACH FLAG,OPERATOR ORDER NUMBER,OPERATOR SEQUENCE NUMBER,STORE NAME,STORE NUMBER,STORE DUNS NUMBER,STORE ADDRESS,STORE CITY,STORE STATE,STORE ZIP CODE,EXCHANGE ORDER NUMBER,EXCHANGE SEQUENCE NUMBER,REF QUALIFIER 1,REF NUMBER 1,REF DESCRIPTION 1,REF QUALIFIER 2,REF NUMBER 2,REF DESCRIPTION 2,REF QUALIFIER 3,REF NUMBER 3,REF DESCRIPTION 3,REF QUALIFIER 4,REF NUMBER 4,REF DESCRIPTION 4,REF QUALIFIER 5,REF NUMBER 5,REF DESCRIPTION 5,DETAIL REF NUMBER
0,658856,106844760000000008,1,CA,0,CA,663501,,074680D,GSK TMU ULT SLRL PEPMNT 24-12-12 EA,10307660746802,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,5,20210902,0,30766074680,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,5.5,IN,13.37,IN,9.43,IN,288,12.0,EA,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,5.0,,,,,,,,,,,,,,,,
1,658856,106844760000000008,1,CA,0,CA,561069,,01433,PGH VKS NYQ CHLD LQ 12-8 FO,10323900014333,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,23,20210902,0,32390001433,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,6.77,IN,8.26,IN,7.24,IN,12,8.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,24.0,,,,,,,,,,,,,,,,
2,658856,106844760000000008,1,CA,0,CA,563987,,71052,PGH TPXPRL SUP UNSC 4-12-8 CNT,10073010710525,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,34,20210902,0,7301071052,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.63,IN,19.76,IN,12.2,IN,48,8.0,CNT,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,35.0,,,,,,,,,,,,,,,,
3,658856,106844760000000008,1,CA,0,CA,567078,,00097421129663,PPB PBPP CPB 8-15-2.12 OZ,97421129663,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,36,20210902,0,9742112966,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,11.0,IN,13.6,IN,9.0,IN,120,2.12,OZ,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,37.0,,,,,,,,,,,,,,,,
4,658856,106844760000000008,1,CA,0,CA,738716,,10041167100193,CHT RLD 'MINT TABLETS 36-12-10 CNT,10041167100193,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,45,20210902,0,4116710019,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,5.25,IN,13.0,IN,11.5,IN,432,10.0,CNT,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,46.0,,,,,,,,,,,,,,,,
5,658856,106844760000000008,1,CA,0,CA,629007,,20202,PPB SME CRNT CHO 6-12 CNT,10639372020575,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,46,20210902,0,63937202057,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,9.8,IN,16.7,IN,9.1,IN,6,12.0,CNT,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,47.0,,,,,,,,,,,,,,,,
6,658856,106844760000000008,1,CA,0,CA,629010,,21216,PPB SME PB CRNC 6-12 CNT,10639372021220,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,47,20210902,0,63937202122,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,9.97,IN,16.85,IN,8.81,IN,6,12.0,CNT,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,48.0,,,,,,,,,,,,,,,,
7,658856,106844760000000008,1,CA,0,CA,485244,,8058,ALC SPU CNY- STR CHRY 12-24-2 OZ,10041364080588,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,50,20210902,0,4136408058,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,12.75,IN,18.9,IN,14.4,IN,288,2.0,OZ,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,51.0,,,,,,,,,,,,,,,,
8,658856,106844760000000008,1,CA,0,CA,633817,,95860,PGC DRSHT ODFR 15-15 CNT,10037000958601,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,59,20210902,0,3700095860,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,5.63,IN,13.3,IN,7.67,IN,15,15.0,CNT,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,61.0,,,,,,,,,,,,,,,,
9,658856,106844760000000008,30,CA,0,CA,646406,,65120,GTG SS FRP 6 OZ 12-6 FO,10883990651202,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,73,20210902,0,88399065120,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.25,IN,9.0,IN,7.0,IN,12,6.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,76.0,,,,,,,,,,,,,,,,
10,658856,106844760000000008,40,CA,0,CA,624615,,66120,GTG JC APL SS 12-6 FO,10883990661201,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,74,20210902,0,88399066120,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.25,IN,9.0,IN,7.0,IN,12,6.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,77.0,,,,,,,,,,,,,,,,
11,658856,106844760000000008,40,CA,0,CA,641023,,66124,GTG JC STKW SS 12-6 FO,10883990661249,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,75,20210902,0,88399066124,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.25,IN,9.25,IN,7.0,IN,12,6.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,78.0,,,,,,,,,,,,,,,,
12,658856,106844760000000008,25,CA,0,CA,646407,,68120,GTG SS GPE 6OZ 12-6 FO,10883990681209,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,76,20210902,0,88399068120,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.25,IN,9.0,IN,7.0,IN,12,6.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,79.0,,,,,,,,,,,,,,,,
13,658856,106844760000000008,20,CA,0,CA,646408,,68121,GTG SS FRT FSN 12-6 FO,10883990681216,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,77,20210902,0,88399068121,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.25,IN,9.0,IN,7.0,IN,12,6.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,80.0,,,,,,,,,,,,,,,,
14,658856,106844760000000008,30,CA,0,CA,641333,,66125,GTG JC TRFR MDLY SS 12-6 FO,10883990661256,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,78,20210902,0,88399066125,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.25,IN,9.0,IN,7.0,IN,12,6.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,81.0,,,,,,,,,,,,,,,,
15,658856,106844760000000008,2,CA,0,CA,687466,,81239,PGC UTCM POWD OG 6-1 LB,37000812395,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,99,20210902,0,3700081239,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,5.62,IN,12.74,IN,10.0,IN,6,1.0,LB,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,102.0,,,,,,,,,,,,,,,,
16,658856,106844760000000008,1,CA,0,CA,483429,,2700061216,RCH WSS VOIL 16-16 FO,20027000612167,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,102,20210902,0,2700061216,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,9.37,IN,12.56,IN,9.56,IN,16,16.0,FO,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,105.0,,,,,,,,,,,,,,,,
17,658856,106844760000000008,3,CA,0,CA,693632,,65831,SPS SY7 OR' VGCHPS SABX 6-1.25 OZ,764218658315,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,103,20210902,0,76421865831,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,7.75,IN,10.0,IN,5.75,IN,6,1.25,OZ,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,106.0,,,,,,,,,,,,,,,,
18,658856,106844760000000008,1,CA,0,CA,426727,,00003,CPC CP4 CLE-CMRC TLT BWL 12-24 FO,10044600000319,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,109,20210902,0,4460000031,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,11.31,IN,15.88,IN,8.0,IN,12,24.0,OZ,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,112.0,,,,,,,,,,,,,,,,
19,658856,106844760000000008,1,CA,0,CA,480943,,55052,CPC GLD FOS ZPR QT 12-25 CNT,10012587550523,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,110,20210902,0,1258755052,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,8.44,IN,10.56,IN,8.06,IN,12,25.0,CNT,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,113.0,,,,,,,,,,,,,,,,
20,658856,106844760000000008,3,CA,0,CA,507989,,1700006812,DLC RTG STX FRH A/P 2-6-2.6 OZ,10017000068128,0.0,LB,N,0,,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,129,20210902,0,1700006812,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,0,0.0,LB,0.0,LB,0.0,CF,,,5.63,IN,7.5,IN,5.38,IN,12,2.6,OZ,0.0,LB,0,0.0,CF,N,,,,,,,,,,4321137.0,133.0,,,,,,,,,,,,,,,,
21,658856,6844763747179009,10,CA,10,CA,545806,,500120101,EPA 7DY CROI SS TRY CHO 4-6-2.65 OZ,48794201012,39.8,LB,N,20211126,NOV.26.21,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,24,20210902,6844763747179009,4879420101,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,23,91.54,LB,129.26,LB,19.92,CF,,,7.63,IN,14.85,IN,13.31,IN,24,2.65,OZ,56.2,LB,0,8.72,CF,N,,,,,,,,,,4321137.0,25.0,,,,,,,,,,,,,,,,
22,658856,6844763747179009,9,CA,9,CA,545810,,500120202,EPA 7DY CROI SS TRY VAN 4-6-2.65 OZ,48794202026,35.82,LB,N,20211225,DEC.25.2021,104698,147582,1,1797935,20210909,822,20210909,822,20210909,MODERN DISTRIBUTORS  INC.,385 VALLEY OAK DRIVE,SOMERSET,KY,425030999,ALICIAVERMILLION,8003663687,7278307,25,20210902,6844763747179009,4879420202,0,,0.0,,0.0,,0.0,,40,,DELIVERED,187,1811.68,LB,2146.14,LB,132.81,CF,17,0,0,0.0,,23,91.54,LB,129.26,LB,19.92,CF,,,7.63,IN,14.85,IN,13.31,IN,24,2.65,OZ,50.58,LB,0,7.84,CF,N,,,,,,,,,,4321137.0,26.0,,,,,,,,,,,,,,,,
